"sourceConceptScheme","sourceConcept",,"targetConceptScheme","targetConcept","prob","comment","targetConceptScheme","Länge","searchfor","targetConceptScheme","targetConcept","prob","comment",,"Concept","ConceptScheme","prefLabel",,,,
"ISCO-88_COM","1234","Advertising and public relations managers",,,,,,"1234","1234","ISCO-88_ILO","1234",1,,"Advertising and public relations department managers","123","ISCO-88_ILO","OTHER DEPARTMENT MANAGERS","123","123","ISCO-88_ILO","OTHER DEPARTMENT MANAGERS"
"ISCO-88_COM","1235","Supply and distribution managers",,,,,,"1235","1235","ISCO-88_ILO","1235",1,,"Supply and distribution department managers","1231","ISCO-88_ILO","Finance and administration department managers","1231","1231","ISCO-88_ILO","Finance and administration department managers"
"ISCO-88_COM","1236","Computing services managers",,,,,,"1236","1236","ISCO-88_ILO","1236",1,,"Computing services department managers","1232","ISCO-88_ILO","Personnel and industrial relations department managers","1232","1232","ISCO-88_ILO","Personnel and industrial relations department managers"
"ISCO-88_COM","1237","Research and development managers",,,,,,"1237","1237","ISCO-88_ILO","1237",1,,"Research and development department managers","1233","ISCO-88_ILO","Sales and marketing department managers","1233","1233","ISCO-88_ILO","Sales and marketing department managers"
"ISCO-88_COM","1239","Other specialist managers not elsewhere classified",,,,,,"1239","1239","ISCO-88_ILO","1239",1,,"Other department managers not elsewhere classified","1234","ISCO-88_ILO","Advertising and public relations department managers","1234","1234","ISCO-88_ILO","Advertising and public relations department managers"
"ISCO-88_COM","13","Managers of small enterprises",,,,,,"1300","13","ISCO-88_ILO","13",1,,"GENERAL MANAGERS","1235","ISCO-88_ILO","Supply and distribution department managers","1235","1235","ISCO-88_ILO","Supply and distribution department managers"
"ISCO-88_COM","131","Managers of small enterprises",,,,,,"1310","131","ISCO-88_ILO","131",1,,"GENERAL MANAGERS","1236","ISCO-88_ILO","Computing services department managers","1236","1236","ISCO-88_ILO","Computing services department managers"
"ISCO-88_COM","1311","Managers of small enterprises in agriculture, hunting,  forestry and fishing",,,,,,"1311","1311","ISCO-88_ILO","1311",1,,"General managers in agriculture, hunting, forestry/ and fishing","1237","ISCO-88_ILO","Research and development department managers","1237","1237","ISCO-88_ILO","Research and development department managers"
"ISCO-88_COM","1312","Managers of small enterprises in manufacturing",,,,,,"1312","1312","ISCO-88_ILO","1312",1,,"General managers in manufacturing","1239","ISCO-88_ILO","Other department managers not elsewhere classified","1239","1239","ISCO-88_ILO","Other department managers not elsewhere classified"
"ISCO-88_COM","1313","Managers of small enterprises in construction",,,,,,"1313","1313","ISCO-88_ILO","1313",1,,"General managers in construction","13","ISCO-88_ILO","GENERAL MANAGERS","13","13","ISCO-88_ILO","GENERAL MANAGERS"
"ISCO-88_COM","1314","Managers of small enterprises in wholesale and retail trade",,,,,,"1314","1314","ISCO-88_ILO","1314",1,,"General managers in wholesale and retail trade","131","ISCO-88_ILO","GENERAL MANAGERS","131","131","ISCO-88_ILO","GENERAL MANAGERS"
"ISCO-88_COM","1315","Managers of small enterprises of restaurants and hotels",,,,,,"1315","1315","ISCO-88_ILO","1315",1,,"General managers of restaurants and hotels","1311","ISCO-88_ILO","General managers in agriculture, hunting, forestry/ and fishing","1311","1311","ISCO-88_ILO","General managers in agriculture, hunting, forestry/ and fishing"
"ISCO-88_COM","1316","Managers of small enterprises in transport, storage and communications",,,,,,"1316","1316","ISCO-88_ILO","1316",1,,"General managers in transport, storage and communications","1312","ISCO-88_ILO","General managers in manufacturing","1312","1312","ISCO-88_ILO","General managers in manufacturing"
"ISCO-88_COM","1317","Managers of small enterprises in business services enterprises",,,,,,"1317","1317","ISCO-88_ILO","1317",1,,"General managers of business services","1313","ISCO-88_ILO","General managers in construction","1313","1313","ISCO-88_ILO","General managers in construction"
"ISCO-88_COM","1318","Managers of small enterprises in personal care, cleaning and related services",,,,,,"1318","1318","ISCO-88_ILO","1318",1,,"General managers in personal care, cleaning and related services","1314","ISCO-88_ILO","General managers in wholesale and retail trade","1314","1314","ISCO-88_ILO","General managers in wholesale and retail trade"
"ISCO-88_COM","1319","Managers of small enterprises not elsewhere classifie",,,,,,"1319","1319","ISCO-88_ILO","1319",1,,"General managers not elsewhere classified","1315","ISCO-88_ILO","General managers of restaurants and hotels","1315","1315","ISCO-88_ILO","General managers of restaurants and hotels"
"ISCO-88_COM","2","PROFESSIONALS",,,,,,"2000","2","ISCO-88_ILO","2",1,,"PROFESSIONALS","1316","ISCO-88_ILO","General managers in transport, storage and communications","1316","1316","ISCO-88_ILO","General managers in transport, storage and communications"
"ISCO-88_COM","21","Physical, mathematical and engineering science professionals",,,,,,"2100","21","ISCO-88_ILO","21",1,,"PHYSICAL, MATHEMATICAL AND ENGINEERING SCIENCE PROFESSIONALS","1317","ISCO-88_ILO","General managers of business services","1317","1317","ISCO-88_ILO","General managers of business services"
"ISCO-88_COM","211","Physicists, chemists and related professionals",,,,,,"2110","211","ISCO-88_ILO","211",1,,"PHYSICISTS, CHEMISTS AND RELATED PROFESSIONALS","1318","ISCO-88_ILO","General managers in personal care, cleaning and related services","1318","1318","ISCO-88_ILO","General managers in personal care, cleaning and related services"
"ISCO-88_COM","2111","Physicists and astronomers",,,,,,"2111","2111","ISCO-88_ILO","2111",1,,"Physicists and astronomers","1319","ISCO-88_ILO","General managers not elsewhere classified","1319","1319","ISCO-88_ILO","General managers not elsewhere classified"
"ISCO-88_COM","2112","Meteorologists",,,,,,"2112","2112","ISCO-88_ILO","2112",1,,"Meteorologists","2","ISCO-88_ILO","PROFESSIONALS","2","2","ISCO-88_ILO","PROFESSIONALS"
"ISCO-88_COM","2113","Chemists",,,,,,"2113","2113","ISCO-88_ILO","2113",1,,"Chemists","21","ISCO-88_ILO","PHYSICAL, MATHEMATICAL AND ENGINEERING SCIENCE PROFESSIONALS","21","21","ISCO-88_ILO","PHYSICAL, MATHEMATICAL AND ENGINEERING SCIENCE PROFESSIONALS"
"ISCO-88_COM","2114","Geologists and geophysicists",,,,,,"2114","2114","ISCO-88_ILO","2114",1,,"Geologists and geophysicists","211","ISCO-88_ILO","PHYSICISTS, CHEMISTS AND RELATED PROFESSIONALS","211","211","ISCO-88_ILO","PHYSICISTS, CHEMISTS AND RELATED PROFESSIONALS"
"ISCO-88_COM","212","Mathematicians, statisticians and related professionals",,,,,,"2120","212","ISCO-88_ILO","212",1,,"MATHEMATICIANS, STATISTICIANS AND RELATED PROFESSIONALS","2111","ISCO-88_ILO","Physicists and astronomers","2111","2111","ISCO-88_ILO","Physicists and astronomers"
"ISCO-88_COM","2121","Mathematicians and related professionals",,,,,,"2121","2121","ISCO-88_ILO","2121",1,,"Mathematicians and related professionals","2112","ISCO-88_ILO","Meteorologists","2112","2112","ISCO-88_ILO","Meteorologists"
"ISCO-88_COM","2122","Statisticians",,,,,,"2122","2122","ISCO-88_ILO","2122",1,,"Statisticians","2113","ISCO-88_ILO","Chemists","2113","2113","ISCO-88_ILO","Chemists"
"ISCO-88_COM","213","Computing professionals",,,,,,"2130","213","ISCO-88_ILO","213",1,,"COMPUTING PROFESSIONALS","2114","ISCO-88_ILO","Geologists and geophysicists","2114","2114","ISCO-88_ILO","Geologists and geophysicists"
"ISCO-88_COM","2131","Computer systems designers, analysts and programmers",,,,,,"2131","2131","ISCO-88_ILO","2131",1,,"Computer systems designers and analysts","212","ISCO-88_ILO","MATHEMATICIANS, STATISTICIANS AND RELATED PROFESSIONALS","212","212","ISCO-88_ILO","MATHEMATICIANS, STATISTICIANS AND RELATED PROFESSIONALS"
"ISCO-88_COM","2139","Computing professionals not elsewhere classified",,,,,,"2139","2139","ISCO-88_ILO","2139",1,,"Computing professionals not elsewhere classified","2121","ISCO-88_ILO","Mathematicians and related professionals","2121","2121","ISCO-88_ILO","Mathematicians and related professionals"
"ISCO-88_COM","214","Architects, engineers and related professionals",,,,,,"2140","214","ISCO-88_ILO","214",1,,"ARCHITECTS, ENGINEERS AND RELATED PROFESSIONALS","2122","ISCO-88_ILO","Statisticians","2122","2122","ISCO-88_ILO","Statisticians"
"ISCO-88_COM","2141","Architects, town and traffic planners",,,,,,"2141","2141","ISCO-88_ILO","2141",1,,"Architects, town and traffic planners","213","ISCO-88_ILO","COMPUTING PROFESSIONALS","213","213","ISCO-88_ILO","COMPUTING PROFESSIONALS"
"ISCO-88_COM","2142","Civil engineers",,,,,,"2142","2142","ISCO-88_ILO","2142",1,,"Civil engineers","2131","ISCO-88_ILO","Computer systems designers and analysts","2131","2131","ISCO-88_ILO","Computer systems designers and analysts"
"ISCO-88_COM","2143","Electrical engineers",,,,,,"2143","2143","ISCO-88_ILO","2143",1,,"Electrical engineers","2132","ISCO-88_ILO","Computer programmers","#N/A","2132","ISCO-88_ILO","Computer programmers"
"ISCO-88_COM","2144","Electronics and telecommunications engineers",,,,,,"2144","2144","ISCO-88_ILO","2144",1,,"Electronics and telecommunications engineers","2139","ISCO-88_ILO","Computing professionals not elsewhere classified","2139","2139","ISCO-88_ILO","Computing professionals not elsewhere classified"
"ISCO-88_COM","2145","Mechanical engineers",,,,,,"2145","2145","ISCO-88_ILO","2145",1,,"Mechanical engineers","214","ISCO-88_ILO","ARCHITECTS, ENGINEERS AND RELATED PROFESSIONALS","214","214","ISCO-88_ILO","ARCHITECTS, ENGINEERS AND RELATED PROFESSIONALS"
"ISCO-88_COM","2146","Chemical engineers",,,,,,"2146","2146","ISCO-88_ILO","2146",1,,"Chemical engineers","2141","ISCO-88_ILO","Architects, town and traffic planners","2141","2141","ISCO-88_ILO","Architects, town and traffic planners"
"ISCO-88_COM","2147","Mining engineers, metallurgists and related professionals",,,,,,"2147","2147","ISCO-88_ILO","2147",1,,"Mining engineers, metallurgists and related professionals","2142","ISCO-88_ILO","Civil engineers","2142","2142","ISCO-88_ILO","Civil engineers"
"ISCO-88_COM","2148","Cartographers and surveyors",,,,,,"2148","2148","ISCO-88_ILO","2148",1,,"Cartographers and surveyors","2143","ISCO-88_ILO","Electrical engineers","2143","2143","ISCO-88_ILO","Electrical engineers"
"ISCO-88_COM","2149","Architects, engineers and related professionals not elsewhere classified",,,,,,"2149","2149","ISCO-88_ILO","2149",1,,"Architects, engineers and related professionals not elsewhere classified","2144","ISCO-88_ILO","Electronics and telecommunications engineers","2144","2144","ISCO-88_ILO","Electronics and telecommunications engineers"
"ISCO-88_COM","22","Life science and health professionals",,,,,,"2200","22","ISCO-88_ILO","22",1,,"LIFE SCIENCE AND HEALTH PROFESSIONALS","2145","ISCO-88_ILO","Mechanical engineers","2145","2145","ISCO-88_ILO","Mechanical engineers"
"ISCO-88_COM","221","Life science professionals",,,,,,"2210","221","ISCO-88_ILO","221",1,,"LIFE SCIENCE PROFESSIONALS","2146","ISCO-88_ILO","Chemical engineers","2146","2146","ISCO-88_ILO","Chemical engineers"
"ISCO-88_COM","2211","Biologists, botanists, zoologists and related professionals ",,,,,,"2211","2211","ISCO-88_ILO","2211",1,,"Biologists, botanists, zoologists and related professionals","2147","ISCO-88_ILO","Mining engineers, metallurgists and related professionals","2147","2147","ISCO-88_ILO","Mining engineers, metallurgists and related professionals"
"ISCO-88_COM","2212","Pharmacologists, pathologists and related professionals",,,,,,"2212","2212","ISCO-88_ILO","2212",1,,"Pharmacologists, pathologists and related professionals","2148","ISCO-88_ILO","Cartographers and surveyors","2148","2148","ISCO-88_ILO","Cartographers and surveyors"
"ISCO-88_COM","2213","Agronomists and related professionals",,,,,,"2213","2213","ISCO-88_ILO","2213",1,,"Agronomists and related professionals","2149","ISCO-88_ILO","Architects, engineers and related professionals not elsewhere classified","2149","2149","ISCO-88_ILO","Architects, engineers and related professionals not elsewhere classified"
"ISCO-88_COM","222","Health professionals (except nursing)",,,,,,"2220","222","ISCO-88_ILO","222",1,,"HEALTH PROFESSIONALS (except nursing)","22","ISCO-88_ILO","LIFE SCIENCE AND HEALTH PROFESSIONALS","22","22","ISCO-88_ILO","LIFE SCIENCE AND HEALTH PROFESSIONALS"
"ISCO-88_COM","2221","Medical doctors",,,,,,"2221","2221","ISCO-88_ILO","2221",1,,"Medical doctors","221","ISCO-88_ILO","LIFE SCIENCE PROFESSIONALS","221","221","ISCO-88_ILO","LIFE SCIENCE PROFESSIONALS"
"ISCO-88_COM","2222","Dentists",,,,,,"2222","2222","ISCO-88_ILO","2222",1,,"Dentists","2211","ISCO-88_ILO","Biologists, botanists, zoologists and related professionals","2211","2211","ISCO-88_ILO","Biologists, botanists, zoologists and related professionals"
"ISCO-88_COM","2223","Veterinarians",,,,,,"2223","2223","ISCO-88_ILO","2223",1,,"Veterinarians","2212","ISCO-88_ILO","Pharmacologists, pathologists and related professionals","2212","2212","ISCO-88_ILO","Pharmacologists, pathologists and related professionals"
"ISCO-88_COM","2224","Pharmacists",,,,,,"2224","2224","ISCO-88_ILO","2224",1,,"Pharmacists","2213","ISCO-88_ILO","Agronomists and related professionals","2213","2213","ISCO-88_ILO","Agronomists and related professionals"
"ISCO-88_COM","2229","Health professionals (except nursing) not elsewhere classified",,,,,,"2229","2229","ISCO-88_ILO","2229",1,,"Health professionals (except nursing) not elsewhere classified","222","ISCO-88_ILO","HEALTH PROFESSIONALS (except nursing)","222","222","ISCO-88_ILO","HEALTH PROFESSIONALS (except nursing)"
"ISCO-88_COM","223","Nursing and midwifery professionals",,,,,,"2230","223","ISCO-88_ILO","223",1,,"NURSING AND MIDWIFERY PROFESSIONALS","2221","ISCO-88_ILO","Medical doctors","2221","2221","ISCO-88_ILO","Medical doctors"
"ISCO-88_COM","2230","Nursing and midwifery professionals ",,,,,,"2230","2230","ISCO-88_ILO","2230",1,,"Nursing and midwifery professionals","2222","ISCO-88_ILO","Dentists","2222","2222","ISCO-88_ILO","Dentists"
"ISCO-88_COM","23","Teaching professionals",,,,,,"2300","23","ISCO-88_ILO","23",1,,"TEACHING PROFESSIONALS","2223","ISCO-88_ILO","Veterinarians","2223","2223","ISCO-88_ILO","Veterinarians"
"ISCO-88_COM","231","College, university and higher education teaching professionals",,,,,,"2310","231","ISCO-88_ILO","231",1,,"COLLEGE, UNIVERSITY AND HIGHER EDUCATION TEACHING PROFESSIONALS","2224","ISCO-88_ILO","Pharmacists","2224","2224","ISCO-88_ILO","Pharmacists"
"ISCO-88_COM","2310","College, university and higher education teaching professionals",,,,,,"2310","2310","ISCO-88_ILO","2310",1,,"College, university and higher education teaching professionals","2229","ISCO-88_ILO","Health professionals (except nursing) not elsewhere classified","2229","2229","ISCO-88_ILO","Health professionals (except nursing) not elsewhere classified"
"ISCO-88_COM","232","Secondary education teaching professionals",,,,,,"2320","232","ISCO-88_ILO","232",1,,"SECONDARY EDUCATION TEACHING PROFESSIONALS","223","ISCO-88_ILO","NURSING AND MIDWIFERY PROFESSIONALS","223","223","ISCO-88_ILO","NURSING AND MIDWIFERY PROFESSIONALS"
"ISCO-88_COM","2320","Secondary education teaching professionals",,,,,,"2320","2320","ISCO-88_ILO","2320",1,,"Secondary education teaching professionals","2230","ISCO-88_ILO","Nursing and midwifery professionals","2230","2230","ISCO-88_ILO","Nursing and midwifery professionals"
"ISCO-88_COM","233","Primary and pre-primary education teaching professionals",,,,,,"2330","233","ISCO-88_ILO","233",1,,"PRIMARY AND PRE-PRIMARY EDUCATION TEACHING PROFESSIONALS","23","ISCO-88_ILO","TEACHING PROFESSIONALS","23","23","ISCO-88_ILO","TEACHING PROFESSIONALS"
"ISCO-88_COM","2331","Primary education teaching professionals",,,,,,"2331","2331","ISCO-88_ILO","2331",1,,"Primary education teaching professionals","231","ISCO-88_ILO","COLLEGE, UNIVERSITY AND HIGHER EDUCATION TEACHING PROFESSIONALS","231","231","ISCO-88_ILO","COLLEGE, UNIVERSITY AND HIGHER EDUCATION TEACHING PROFESSIONALS"
"ISCO-88_COM","2332","Pre-primary education teaching professionals",,,,,,"2332","2332","ISCO-88_ILO","2332",1,,"Pre-primary education teaching professionals","2310","ISCO-88_ILO","College, university and higher education teaching professionals","2310","2310","ISCO-88_ILO","College, university and higher education teaching professionals"
"ISCO-88_COM","234","Special education teaching professionals",,,,,,"2340","234","ISCO-88_ILO","234",1,,"SPECIAL EDUCATION TEACHING PROFESSIONALS","232","ISCO-88_ILO","SECONDARY EDUCATION TEACHING PROFESSIONALS","232","232","ISCO-88_ILO","SECONDARY EDUCATION TEACHING PROFESSIONALS"
"ISCO-88_COM","2340","Special education teaching professionals",,,,,,"2340","2340","ISCO-88_ILO","2340",1,,"Special education teaching professionals","2320","ISCO-88_ILO","Secondary education teaching professionals","2320","2320","ISCO-88_ILO","Secondary education teaching professionals"
"ISCO-88_COM","235","Other teaching professionals",,,,,,"2350","235","ISCO-88_ILO","235",1,,"OTHER TEACHING PROFESSIONALS","233","ISCO-88_ILO","PRIMARY AND PRE-PRIMARY EDUCATION TEACHING PROFESSIONALS","233","233","ISCO-88_ILO","PRIMARY AND PRE-PRIMARY EDUCATION TEACHING PROFESSIONALS"
"ISCO-88_COM","2351","Education methods specialists",,,,,,"2351","2351","ISCO-88_ILO","2351",1,,"Education methods specialists","2331","ISCO-88_ILO","Primary education teaching professionals","2331","2331","ISCO-88_ILO","Primary education teaching professionals"
"ISCO-88_COM","2352","School inspectors",,,,,,"2352","2352","ISCO-88_ILO","2352",1,,"School inspectors","2332","ISCO-88_ILO","Pre-primary education teaching professionals","2332","2332","ISCO-88_ILO","Pre-primary education teaching professionals"
"ISCO-88_COM","2359","Other teaching professionals not elsewhere classified",,,,,,"2359","2359","ISCO-88_ILO","2359",1,,"Other teaching professionals not elsewhere classified","234","ISCO-88_ILO","SPECIAL EDUCATION TEACHING PROFESSIONALS","234","234","ISCO-88_ILO","SPECIAL EDUCATION TEACHING PROFESSIONALS"
"ISCO-88_COM","24","Other professionals",,,,,,"2400","24","ISCO-88_ILO","24",1,,"OTHER PROFESSIONALS","2340","ISCO-88_ILO","Special education teaching professionals","2340","2340","ISCO-88_ILO","Special education teaching professionals"
"ISCO-88_COM","241","Business professionals",,,,,,"2410","241","ISCO-88_ILO","241",1,,"BUSINESS PROFESSIONALS","235","ISCO-88_ILO","OTHER TEACHING PROFESSIONALS","235","235","ISCO-88_ILO","OTHER TEACHING PROFESSIONALS"
"ISCO-88_COM","2411","Accountants",,,,,,"2411","2411","ISCO-88_ILO","2411",1,,"Accountants","2351","ISCO-88_ILO","Education methods specialists","2351","2351","ISCO-88_ILO","Education methods specialists"
"ISCO-88_COM","2412","Personnel and careers professionals",,,,,,"2412","2412","ISCO-88_ILO","2412",1,,"Personnel and careers professionals","2352","ISCO-88_ILO","School inspectors","2352","2352","ISCO-88_ILO","School inspectors"
"ISCO-88_COM","2419","Business professionals not elsewhere classified",,,,,,"2419","2419","ISCO-88_ILO","2419",1,,"Business professionals not elsewhere classified","2359","ISCO-88_ILO","Other teaching professionals not elsewhere classified","2359","2359","ISCO-88_ILO","Other teaching professionals not elsewhere classified"
"ISCO-88_COM","242","Legal professionals",,,,,,"2420","242","ISCO-88_ILO","242",1,,"LEGAL PROFESSIONALS","24","ISCO-88_ILO","OTHER PROFESSIONALS","24","24","ISCO-88_ILO","OTHER PROFESSIONALS"
"ISCO-88_COM","2421","Lawyers",,,,,,"2421","2421","ISCO-88_ILO","2421",1,,"Lawyers","241","ISCO-88_ILO","BUSINESS PROFESSIONALS","241","241","ISCO-88_ILO","BUSINESS PROFESSIONALS"
"ISCO-88_COM","2422","Judges",,,,,,"2422","2422","ISCO-88_ILO","2422",1,,"Judges","2411","ISCO-88_ILO","Accountants","2411","2411","ISCO-88_ILO","Accountants"
"ISCO-88_COM","2429","Legal professionals not elswhere classified",,,,,,"2429","2429","ISCO-88_ILO","2429",1,,"Legal professionals not elsewhere classified","2412","ISCO-88_ILO","Personnel and careers professionals","2412","2412","ISCO-88_ILO","Personnel and careers professionals"
