"sourceConceptScheme","sourceConcept","targetConceptScheme","targetConcept","prob","comment"
"ISCO-08_Ganzeboom","0","ISEI","51.25",1,
"ISCO-08_Ganzeboom","100","ISEI","60.92",1,
"ISCO-08_Ganzeboom","110","ISEI","60.92",1,
"ISCO-08_Ganzeboom","200","ISEI","51.63",1,
"ISCO-08_Ganzeboom","210","ISEI","51.63",1,
"ISCO-08_Ganzeboom","300","ISEI","29.18",1,
"ISCO-08_Ganzeboom","310","ISEI","29.18",1,
"ISCO-08_Ganzeboom","1000","ISEI","65.12",1,
"ISCO-08_Ganzeboom","1100","ISEI","71.72",1,
"ISCO-08_Ganzeboom","1110","ISEI","74.5",1,
"ISCO-08_Ganzeboom","1111","ISEI","68.77",1,
"ISCO-08_Ganzeboom","1112","ISEI","78.76",1,
"ISCO-08_Ganzeboom","1113","ISEI","64.98",1,
"ISCO-08_Ganzeboom","1114","ISEI","71.29",1,
"ISCO-08_Ganzeboom","1120","ISEI","70.34",1,
"ISCO-08_Ganzeboom","1200","ISEI","72.94",1,
"ISCO-08_Ganzeboom","1210","ISEI","72.24",1,
"ISCO-08_Ganzeboom","1211","ISEI","73.38",1,
"ISCO-08_Ganzeboom","1212","ISEI","74.79",1,
"ISCO-08_Ganzeboom","1213","ISEI","70.57",1,
"ISCO-08_Ganzeboom","1219","ISEI","68.54",1,
"ISCO-08_Ganzeboom","1220","ISEI","73.71",1,
"ISCO-08_Ganzeboom","1221","ISEI","71.39",1,
"ISCO-08_Ganzeboom","1222","ISEI","75.25",1,
"ISCO-08_Ganzeboom","1223","ISEI","81.92",1,
"ISCO-08_Ganzeboom","1300","ISEI","65.25",1,
"ISCO-08_Ganzeboom","1310","ISEI","49.48",1,
"ISCO-08_Ganzeboom","1311","ISEI","49.48",1,
"ISCO-08_Ganzeboom","1312","ISEI","49.48",1,
"ISCO-08_Ganzeboom","1320","ISEI","61.57",1,
"ISCO-08_Ganzeboom","1321","ISEI","65.42",1,
"ISCO-08_Ganzeboom","1322","ISEI","61.57",1,
"ISCO-08_Ganzeboom","1323","ISEI","59.89",1,
"ISCO-08_Ganzeboom","1324","ISEI","58.07",1,
"ISCO-08_Ganzeboom","1330","ISEI","78.86",1,
"ISCO-08_Ganzeboom","1340","ISEI","65.01",1,
"ISCO-08_Ganzeboom","1341","ISEI","65.01",1,
"ISCO-08_Ganzeboom","1342","ISEI","65.01",1,
"ISCO-08_Ganzeboom","1343","ISEI","65.01",1,
"ISCO-08_Ganzeboom","1344","ISEI","65.01",1,
"ISCO-08_Ganzeboom","1345","ISEI","65.01",1,
"ISCO-08_Ganzeboom","1346","ISEI","65.01",1,
"ISCO-08_Ganzeboom","1349","ISEI","65.01",1,
"ISCO-08_Ganzeboom","1400","ISEI","51.01",1,
"ISCO-08_Ganzeboom","1410","ISEI","43.85",1,
"ISCO-08_Ganzeboom","1411","ISEI","43.85",1,
"ISCO-08_Ganzeboom","1412","ISEI","43.85",1,
"ISCO-08_Ganzeboom","1420","ISEI","51.56",1,
"ISCO-08_Ganzeboom","1430","ISEI","51.01",1,
"ISCO-08_Ganzeboom","1431","ISEI","51.01",1,
"ISCO-08_Ganzeboom","1439","ISEI","51.01",1,
"ISCO-08_Ganzeboom","2000","ISEI","76.24",1,
"ISCO-08_Ganzeboom","2100","ISEI","79.49",1,
"ISCO-08_Ganzeboom","2110","ISEI","84.16",1,
"ISCO-08_Ganzeboom","2111","ISEI","84.61",1,
