"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"ISCO-88_Ganzeboom_EGP_Ganzeboom_aux1","en","0","self-employed: no",1,0
"ISCO-88_Ganzeboom_EGP_Ganzeboom_aux1","en","2","self-employed: yes",2,2
