"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"KldB88","de","110","Landwirte, allgemein",1,110
"KldB88","de","111","Diplomlandwirte (nicht administrativ tätig)",2,111
"KldB88","de","112","Ackerbauern",3,112
"KldB88","de","113","Viehhalter und Grünlandwirte",4,113
"KldB88","de","114","Saat-, Pflanzenzüchter",5,114
"KldB88","de","115","Pflanzenschützer",6,115
"KldB88","de","116","Landwirte und Gastwirte bzw.Kaufleute",7,116
"KldB88","de","118","Landwirte und Winzer",8,118
"KldB88","de","119","andere Landwirte",9,119
"KldB88","de","120","Winzer, allgemein",10,120
"KldB88","de","121","Rebenveredler",11,121
"KldB88","de","129","andere Weinbauern",12,129
"KldB88","de","210","Tierwirte, -züchter, allgemein",13,210
"KldB88","de","211","Pferde-, Rindviehzüchter",14,211
"KldB88","de","212","Schäfer",15,212
"KldB88","de","213","Geflügelzüchter",16,213
"KldB88","de","214","Pelz-, Wildtierzüchter",17,214
"KldB88","de","215","Fischzüchter, -wirte",18,215
"KldB88","de","216","Schweinezüchter",19,216
"KldB88","de","217","Tierzüchterhelfer",20,217
"KldB88","de","218","Imker",21,218
"KldB88","de","219","andere Tierzüchter",22,219
"KldB88","de","220","Fischer, allgemein",23,220
"KldB88","de","221","Binnenfischer",24,221
"KldB88","de","222","Küstenfischer",25,222
"KldB88","de","223","Hochseefischer",26,223
"KldB88","de","227","Fischerhelfer",27,227
"KldB88","de","229","andere Fischereiberufe",28,229
"KldB88","de","311","Verwalter in der Landwirtschaft",29,311
"KldB88","de","312","Verwalter in der Tierzucht",30,312
"KldB88","de","319","andere Verwalter in der Landwirtschaft und Tierzucht",31,319
"KldB88","de","321","Diplomlandwirte (administrativ tätig)",32,321
"KldB88","de","322","Agraringenieure",33,322
"KldB88","de","323","Agrartechniker",34,323
"KldB88","de","324","Weinbauberater",35,324
"KldB88","de","325","Viehzuchtberater",36,325
"KldB88","de","329","andere landwirtschaftliche Berater",37,329
"KldB88","de","410","Landarbeitskräfte, allgemein",38,410
"KldB88","de","411","Landarbeitsaufseher",39,411
"KldB88","de","412","Landmaschinenführer",40,412
"KldB88","de","413","Acker-, Weidearbeiter",41,413
"KldB88","de","414","Weinbergsarbeiter",42,414
"KldB88","de","415","Viehpfleger",43,415
"KldB88","de","417","Erntehilfen, Landarbeitshelfer",44,417
"KldB88","de","419","andere Landarbeitskräfte",45,419
"KldB88","de","421","Melker",46,421
"KldB88","de","431","Familieneigene Arbeitskräfte in der Landwirtschaft",47,431
"KldB88","de","440","Tierpfleger, allgemein",48,440
"KldB88","de","441","Pferdepfleger",49,441
"KldB88","de","442","Rindviehpfleger",50,442
"KldB88","de","443","Zoowärter (Tierpfleger)",51,443
"KldB88","de","444","Tierlehrer (nicht Artisten)",52,444
"KldB88","de","445","Hundepfleger",53,445
"KldB88","de","446","Schweinepfleger",54,446
"KldB88","de","447","Tierpflegerhelfer",55,447
"KldB88","de","448","Deckstationswärter",56,448
"KldB88","de","449","andere Tierpfleger",57,449
"KldB88","de","510","Gärtner, allgemein",58,510
"KldB88","de","511","Landschaftsgärtner",59,511
"KldB88","de","512","Baumschulengärtner, Baumwarte",60,512
"KldB88","de","513","Zierpflanzengärtner",61,513
"KldB88","de","514","Obst- und Gemüsegärtner",62,514
"KldB88","de","515","Friedhofsgärtner",63,515
"KldB88","de","517","Gartenarbeiter",64,517
"KldB88","de","519","andere Gärtner",65,519
"KldB88","de","521","Landschafts-, Gartenarchitekten",66,521
"KldB88","de","522","Gartenverwalter",67,522
"KldB88","de","523","Gartenbauberater und verwandte Berufe",68,523
"KldB88","de","524","Gartenbautechniker",69,524
"KldB88","de","525","Ingenieure für Gartenbau",70,525
"KldB88","de","531","Floristen",71,531
"KldB88","de","532","Kranzbinder",72,532
"KldB88","de","537","Blumenbinderhelfer",73,537
"KldB88","de","611","Forstberufe (Hochschule)",74,611
"KldB88","de","613","Revierförster, Forstschützer",75,613
"KldB88","de","614","Forstverwalter, Forstwirte (nicht Waldfacharbeiter)",76,614
"KldB88","de","615","Revierjäger",77,615
"KldB88","de","616","Wildheger",78,616
"KldB88","de","618","Tierfänger",79,618
"KldB88","de","619","andere Forstberufe",80,619
"KldB88","de","621","Forstwirte (Waldfacharbeiter)",81,621
"KldB88","de","622","Holzfäller",82,622
"KldB88","de","623","Forst- und Waldkulturarbeiter",83,623
"KldB88","de","624","Waldwegewarte",84,624
"KldB88","de","627","Waldarbeiter, -nutzerhelfer",85,627
"KldB88","de","628","Waldfrüchtesammler und verwandte Berufe",86,628
"KldB88","de","629","andere Waldarbeiter, Waldnutzer",87,629
"KldB88","de","710","Bergleute, o.n.A.",88,710
"KldB88","de","711","Bergmechaniker",89,711
"KldB88","de","712","Berg- und Maschinenmann",90,712
"KldB88","de","713","Vortrieb- und Gewinnungsbergleute",91,713
"KldB88","de","714","Transport- und Instandhaltungsbergleute",92,714
"KldB88","de","717","Bergbauhelfer",93,717
"KldB88","de","719","andere Bergleute",94,719
"KldB88","de","721","Maschinenhauer",95,721
"KldB88","de","722","Elektrohauer",96,722
"KldB88","de","723","Schießhauer",97,723
"KldB88","de","727","Maschinen-, Elektro-, Schießhauerhelfer",98,727
"KldB88","de","729","andere Maschinen-, Elektro-, Schießhauer",99,729
"KldB88","de","810","Steinbrecher, o.n.A.",100,810
"KldB88","de","811","Führer von Steingewinnungsmaschinen",101,811
"KldB88","de","812","Schotter- und Brechwerksteuerer und verwandte Berufe",102,812
"KldB88","de","814","Steinbruchbohrer",103,814
"KldB88","de","817","Steinbrecherhelfer",104,817
"KldB88","de","819","andere Steinbrecher",105,819
"KldB88","de","820","Erden-, Kies-, Sandgewinner, o.n.A.",106,820
"KldB88","de","821","Erden-, Sandgräber",107,821
"KldB88","de","822","Kiesgewinner",108,822
"KldB88","de","823","Torfgewinner",109,823
"KldB88","de","827","Torfaufsetzer und ähnliche Helfer",110,827
"KldB88","de","829","andere Erden-, Kies-, Sandgewinner",111,829
