"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"ISCO-08_Ganzeboom","en","0","Armed forces occupations",1,0
"ISCO-08_Ganzeboom","en","100","Commissioned armed forces officers",2,100
"ISCO-08_Ganzeboom","en","110","Commissioned armed forces officers",3,110
"ISCO-08_Ganzeboom","en","200","Non-commissioned armed forces officers",4,200
"ISCO-08_Ganzeboom","en","210","Non-commissioned armed forces officers",5,210
"ISCO-08_Ganzeboom","en","300","Armed forces occupations, other ranks",6,300
"ISCO-08_Ganzeboom","en","310","Armed forces occupations, other ranks",7,310
"ISCO-08_Ganzeboom","en","1000","Managers",8,1000
"ISCO-08_Ganzeboom","en","1100","Chief executives, senior officials and legislators",9,1100
"ISCO-08_Ganzeboom","en","1110","Legislators and senior officials",10,1110
"ISCO-08_Ganzeboom","en","1111","Legislators",11,1111
"ISCO-08_Ganzeboom","en","1112","Senior government officials",12,1112
"ISCO-08_Ganzeboom","en","1113","Traditional chiefs and heads of village",13,1113
"ISCO-08_Ganzeboom","en","1114","Senior officials of special-interest organizations",14,1114
"ISCO-08_Ganzeboom","en","1120","Managing directors and chief executives",15,1120
"ISCO-08_Ganzeboom","en","1200","Administrative and commercial managers",16,1200
"ISCO-08_Ganzeboom","en","1210","Business services and administration managers",17,1210
"ISCO-08_Ganzeboom","en","1211","Finance managers",18,1211
"ISCO-08_Ganzeboom","en","1212","Human resource managers",19,1212
"ISCO-08_Ganzeboom","en","1213","Policy and planning managers",20,1213
"ISCO-08_Ganzeboom","en","1219","Business services and administration managers nec",21,1219
"ISCO-08_Ganzeboom","en","1220","Sales, marketing and development managers",22,1220
"ISCO-08_Ganzeboom","en","1221","Sales and marketing managers",23,1221
"ISCO-08_Ganzeboom","en","1222","Advertising and public relations managers",24,1222
"ISCO-08_Ganzeboom","en","1223","Research and development managers",25,1223
"ISCO-08_Ganzeboom","en","1300","Production and specialized services managers",26,1300
"ISCO-08_Ganzeboom","en","1310","Production managers in agriculture, forestry and fisheries",27,1310
"ISCO-08_Ganzeboom","en","1311","Agricultural and forestry production managers",28,1311
"ISCO-08_Ganzeboom","en","1312","Aquaculture and fisheries production managers",29,1312
"ISCO-08_Ganzeboom","en","1320","Manufacture, mining, construction, distribution managers",30,1320
