"sourceConceptScheme","sourceConcept","targetConceptScheme","targetConcept","prob","comment"
"ISCO-68_SOEPdepr","195","ISCO-68_ILO","1-95",1,
"ISCO-68_SOEPdepr","199","ISCO-68_ILO","1-99",1,
"ISCO-68_SOEPdepr","201","ISCO-68_ILO","2-01",1,
"ISCO-68_SOEPdepr","202","ISCO-68_ILO","2-02",1,
"ISCO-68_SOEPdepr","211","ISCO-68_ILO","2-11",1,
"ISCO-68_SOEPdepr","212","ISCO-68_ILO","2-12",1,
"ISCO-68_SOEPdepr","219","ISCO-68_ILO","2-19",1,
"ISCO-68_SOEPdepr","300","ISCO-68_ILO","3-00",1,
"ISCO-68_SOEPdepr","310","ISCO-68_ILO","3-10",1,
"ISCO-68_SOEPdepr","321","ISCO-68_ILO","3-21",1,
"ISCO-68_SOEPdepr","322","ISCO-68_ILO","3-22",1,
"ISCO-68_SOEPdepr","331","ISCO-68_ILO","3-31",1,
"ISCO-68_SOEPdepr","339","ISCO-68_ILO","3-39",1,
"ISCO-68_SOEPdepr","341","ISCO-68_ILO","3-41",1,
"ISCO-68_SOEPdepr","342","ISCO-68_ILO","3-42",1,
"ISCO-68_SOEPdepr","351","ISCO-68_ILO","3-51",1,
"ISCO-68_SOEPdepr","352","ISCO-68_ILO","3-52",1,
"ISCO-68_SOEPdepr","359","ISCO-68_ILO","3-59",1,
"ISCO-68_SOEPdepr","360","ISCO-68_ILO","3-60",1,
"ISCO-68_SOEPdepr","370","ISCO-68_ILO","3-70",1,
"ISCO-68_SOEPdepr","380","ISCO-68_ILO","3-80",1,
"ISCO-68_SOEPdepr","391","ISCO-68_ILO","3-91",1,
"ISCO-68_SOEPdepr","392","ISCO-68_ILO","3-92",1,
"ISCO-68_SOEPdepr","393","ISCO-68_ILO","3-93",1,
"ISCO-68_SOEPdepr","394","ISCO-68_ILO","3-94",1,
"ISCO-68_SOEPdepr","395","ISCO-68_ILO","3-95",1,
"ISCO-68_SOEPdepr","399","ISCO-68_ILO","3-99",1,
"ISCO-68_SOEPdepr","400","ISCO-68_ILO","4-00",1,
"ISCO-68_SOEPdepr","410","ISCO-68_ILO","4-10",1,
"ISCO-68_SOEPdepr","421","ISCO-68_ILO","4-21",1,
"ISCO-68_SOEPdepr","422","ISCO-68_ILO","4-22",1,
"ISCO-68_SOEPdepr","431","ISCO-68_ILO","4-31",1,
"ISCO-68_SOEPdepr","432","ISCO-68_ILO","4-32",1,
"ISCO-68_SOEPdepr","441","ISCO-68_ILO","4-41",1,
"ISCO-68_SOEPdepr","442","ISCO-68_ILO","4-42",1,
"ISCO-68_SOEPdepr","443","ISCO-68_ILO","4-43",1,
"ISCO-68_SOEPdepr","451","ISCO-68_ILO","4-51",1,
"ISCO-68_SOEPdepr","452","ISCO-68_ILO","4-52",1,
"ISCO-68_SOEPdepr","490","ISCO-68_ILO","4-90",1,
"ISCO-68_SOEPdepr","500","ISCO-68_ILO","5-00",1,
"ISCO-68_SOEPdepr","510","ISCO-68_ILO","5-10",1,
"ISCO-68_SOEPdepr","520","ISCO-68_ILO","5-20",1,
"ISCO-68_SOEPdepr","531","ISCO-68_ILO","5-31",1,
"ISCO-68_SOEPdepr","532","ISCO-68_ILO","5-32",1,
"ISCO-68_SOEPdepr","540","ISCO-68_ILO","5-40",1,
"ISCO-68_SOEPdepr","551","ISCO-68_ILO","5-51",1,
"ISCO-68_SOEPdepr","552","ISCO-68_ILO","5-52",1,
"ISCO-68_SOEPdepr","560","ISCO-68_ILO","5-60",1,
"ISCO-68_SOEPdepr","570","ISCO-68_ILO","5-70",1,
"ISCO-68_SOEPdepr","581","ISCO-68_ILO","5-81",1,
"ISCO-68_SOEPdepr","582","ISCO-68_ILO","5-82",1,
"ISCO-68_SOEPdepr","589","ISCO-68_ILO","5-89",1,
"ISCO-68_SOEPdepr","591","ISCO-68_ILO","5-91",1,
"ISCO-68_SOEPdepr","592","ISCO-68_ILO","5-92",1,
"ISCO-68_SOEPdepr","599","ISCO-68_ILO","5-99",1,
"ISCO-68_SOEPdepr","600","ISCO-68_ILO","6-00",1,
"ISCO-68_SOEPdepr","611","ISCO-68_ILO","6-11",1,
"ISCO-68_SOEPdepr","612","ISCO-68_ILO","6-12",1,
"ISCO-68_SOEPdepr","621","ISCO-68_ILO","6-21",1,
"ISCO-68_SOEPdepr","622","ISCO-68_ILO","6-22",1,
"ISCO-68_SOEPdepr","623","ISCO-68_ILO","6-23",1,
"ISCO-68_SOEPdepr","624","ISCO-68_ILO","6-24",1,
"ISCO-68_SOEPdepr","625","ISCO-68_ILO","6-25",1,
"ISCO-68_SOEPdepr","626","ISCO-68_ILO","6-26",1,
"ISCO-68_SOEPdepr","627","ISCO-68_ILO","6-27",1,
"ISCO-68_SOEPdepr","628","ISCO-68_ILO","6-28",1,
"ISCO-68_SOEPdepr","629","ISCO-68_ILO","6-29",1,
