"ConceptScheme","labelStyle","Concept","prefLabel","sortorder"
"ISCO-08_ILO","en","23","Teaching Professionals",102
"ISCO-08_ILO","en","231","University and Higher Education Teachers",103
"ISCO-08_ILO","en","2310","University and Higher Education Teachers",104
"ISCO-08_ILO","en","232","Vocational Education Teachers",105
"ISCO-08_ILO","en","2320","Vocational Education Teachers",106
"ISCO-08_ILO","en","233","Secondary Education Teachers",107
"ISCO-08_ILO","en","2330","Secondary Education Teachers",108
"ISCO-08_ILO","en","234","Primary School and Early Childhood Teachers",109
"ISCO-08_ILO","en","2341","Primary School Teachers",110
"ISCO-08_ILO","en","2342","Early Childhood Educators",111
"ISCO-08_ILO","en","235","Other Teaching Professionals",112
"ISCO-08_ILO","en","2351","Education Methods specialists",113
"ISCO-08_ILO","en","2352","Special Needs Teachers",114
"ISCO-08_ILO","en","2353","Other Language Teachers",115
"ISCO-08_ILO","en","2354","Other Music Teachers",116
"ISCO-08_ILO","en","2355","Other Arts Teachers",117
"ISCO-08_ILO","en","2356","Information Technology Trainers",118
"ISCO-08_ILO","en","2359","Teaching Professionals Not Elsewhere Classified",119
"ISCO-08_ILO","en","24","Business and Administration Professionals",120
"ISCO-08_ILO","en","241","Finance Professionals",121
"ISCO-08_ILO","en","2411","Accountants",122
"ISCO-08_ILO","en","2412","Financial and Investment Advisers",123
"ISCO-08_ILO","en","2413","Financial Analysts",124
"ISCO-08_ILO","en","242","Administration Professionals",125
"ISCO-08_ILO","en","2421","Management and Organization Analysts",126
"ISCO-08_ILO","en","2422","Policy Administration Professionals",127
"ISCO-08_ILO","en","2423","Personnel and Careers Professionals",128
"ISCO-08_ILO","en","2424","Training and Staff Development Professionals",129
"ISCO-08_ILO","en","243","Sales, Marketing and Public Relations Professionals",130
"ISCO-08_ILO","en","2431","Advertising and Marketing Professionals",131
"ISCO-08_ILO","en","2432","Public Relations Professionals",132
"ISCO-08_ILO","en","2433","Technical and Medical Sales Professionals (excluding ICT)",133
"ISCO-08_ILO","en","2434","Information and Communications Technology Sales Professionals",134
"ISCO-08_ILO","en","25","Information and Communications Technology Professionals",135
"ISCO-08_ILO","en","251","Software and Applications Developers and Analysts",136
"ISCO-08_ILO","en","2511","Systems Analysts",137
"ISCO-08_ILO","en","2512","Software Developers",138
"ISCO-08_ILO","en","2513","Web and Multimedia Developers",139
"ISCO-08_ILO","en","2514","Applications Programmers",140
"ISCO-08_ILO","en","2519","Software and Applications Developers and Analysts Not Elsewhere Classified",141
"ISCO-08_ILO","en","252","Database and Network Professionals",142
"ISCO-08_ILO","en","2521","Database Designers and Administrators",143
"ISCO-08_ILO","en","2522","Systems Administrators",144
"ISCO-08_ILO","en","2523","Computer Network Professionals",145
"ISCO-08_ILO","en","2529","Database and Network Professionals Not Elsewhere Classified",146
"ISCO-08_ILO","en","26","Legal, Social and Cultural Professionals",147
"ISCO-08_ILO","en","261","Legal Professionals",148
"ISCO-08_ILO","en","2611","Lawyers",149
"ISCO-08_ILO","en","2612","Judges",150
"ISCO-08_ILO","en","2619","Legal Professionals Not Elsewhere Classified",151
"ISCO-08_ILO","en","262","Librarians, Archivists and Curators ",152
"ISCO-08_ILO","en","2621","Archivists and Curators",153
"ISCO-08_ILO","en","2622","Librarians and Related Information Professionals",154
"ISCO-08_ILO","en","263","Social and Religious Professionals",155
"ISCO-08_ILO","en","2631","Economists",156
"ISCO-08_ILO","en","2632","Sociologists, Anthropologists and Related Professionals",157
"ISCO-08_ILO","en","2633","Philosophers, Historians and Political Scientists",158
"ISCO-08_ILO","en","2634","Psychologists",159
"ISCO-08_ILO","en","2635","Social Work and Counselling Professionals",160
"ISCO-08_ILO","en","2636","Religious Professionals",161
"ISCO-08_ILO","en","264","Authors, Journalists and Linguists",162
"ISCO-08_ILO","en","2641","Authors and Related Writers",163
"ISCO-08_ILO","en","2642","Journalists",164
"ISCO-08_ILO","en","2643","Translators, Interpreters and Other Linguists",165
"ISCO-08_ILO","en","265","Creative and Performing Artists",166
"ISCO-08_ILO","en","2651","Visual Artists",167
"ISCO-08_ILO","en","2652","Musicians, Singers and Composers",168
"ISCO-08_ILO","en","2653","Dancers and Choreographers",169
"ISCO-08_ILO","en","2654","Film, Stage and Related Directors and Producers",170
"ISCO-08_ILO","en","2655","Actors",171
"ISCO-08_ILO","en","2656","Announcers on Radio, Television and Other Media",172
"ISCO-08_ILO","en","2659","Creative and Performing Artists Not Elsewhere Classified",173
"ISCO-08_ILO","en","3","Technicians and Associate Professionals",174
"ISCO-08_ILO","en","31","Science and Engineering Associate Professionals",175
"ISCO-08_ILO","en","311","Physical and Engineering Science Technicians",176
"ISCO-08_ILO","en","3111","Chemical and Physical Science Technicians",177
"ISCO-08_ILO","en","3112","Civil Engineering Technicians",178
"ISCO-08_ILO","en","3113","Electrical Engineering Technicians",179
"ISCO-08_ILO","en","3114","Electronics Engineering Technicians",180
"ISCO-08_ILO","en","3115","Mechanical Engineering Technicians",181
"ISCO-08_ILO","en","3116","Chemical Engineering Technicians",182
"ISCO-08_ILO","en","3117","Mining and Metallurgical Technicians",183
"ISCO-08_ILO","en","3118","Draughtspersons",184
"ISCO-08_ILO","en","3119","Physical and Engineering Science Technicians Not Elsewhere Classified",185
"ISCO-08_ILO","en","312","Mining, Manufacturing and Construction Supervisors",186
"ISCO-08_ILO","en","3121","Mining Supervisors",187
"ISCO-08_ILO","en","3122","Manufacturing Supervisors",188
"ISCO-08_ILO","en","3123","Construction Supervisors",189
"ISCO-08_ILO","en","313","Process Control Technicians",190
"ISCO-08_ILO","en","3131","Power Production Plant Operators",191
"ISCO-08_ILO","en","3132","Incinerator and Water Treatment Plant Operators",192
"ISCO-08_ILO","en","3133","Chemical Processing Plant Controllers",193
"ISCO-08_ILO","en","3134","Petroleum and Natural Gas Refining Plant Operators",194
"ISCO-08_ILO","en","3135","Metal Production Process Controllers",195
"ISCO-08_ILO","en","3139","Process Control Technicians Not Elsewhere Classified",196
"ISCO-08_ILO","en","314","Life Science Technicians and Related Associate Professionals",197
"ISCO-08_ILO","en","3141","Life Science Technicians (excluding Medical)",198
"ISCO-08_ILO","en","3142","Agricultural Technicians",199
"ISCO-08_ILO","en","3143","Forestry Technicians",200
"ISCO-08_ILO","en","315","Ship and Aircraft Controllers and Technicians",201
"ISCO-08_ILO","en","3151","Ships’ Engineers",202
"ISCO-08_ILO","en","3152","Ships’ Deck Officers and Pilots",203
"ISCO-08_ILO","en","3153","Aircraft Pilots and Related Associate Professionals",204
"ISCO-08_ILO","en","3154","Air Traffic Controllers",205
"ISCO-08_ILO","en","3155","Air Traffic Safety Electronics Technicians",206
"ISCO-08_ILO","en","32","Health Associate Professionals",207
"ISCO-08_ILO","en","321","Medical and Pharmaceutical Technicians",208
"ISCO-08_ILO","en","3211","Medical Imaging and Therapeutic Equipment Technicians",209
"ISCO-08_ILO","en","3212","Medical and Pathology Laboratory Technicians ",210
"ISCO-08_ILO","en","3213","Pharmaceutical Technicians and Assistants",211
"ISCO-08_ILO","en","3214","Medical and Dental Prosthetic Technicians",212
"ISCO-08_ILO","en","322","Nursing and Midwifery Associate Professionals",213
"ISCO-08_ILO","en","3221","Nursing Associate Professionals",214
"ISCO-08_ILO","en","3222","Midwifery Associate Professionals",215
"ISCO-08_ILO","en","323","Traditional and Complementary Medicine Associate Professionals",216
"ISCO-08_ILO","en","3230","Traditional and Complementary Medicine Associate Professionals",217
"ISCO-08_ILO","en","324","Veterinary Technicians and Assistants",218
"ISCO-08_ILO","en","3240","Veterinary Technicians and Assistants",219
"ISCO-08_ILO","en","325","Other Health Associate Professionals",220
"ISCO-08_ILO","en","3251","Dental Assistants and Therapists",221
"ISCO-08_ILO","en","3252","Medical Records and Health Information Technicians",222
"ISCO-08_ILO","en","3253","Community Health Workers",223
"ISCO-08_ILO","en","3254","Dispensing Opticians",224
"ISCO-08_ILO","en","3255","Physiotherapy Technicians and Assistants",225
"ISCO-08_ILO","en","3256","Medical Assistants",226
"ISCO-08_ILO","en","3257","Environmental and Occupational Health Inspectors and Associates",227
"ISCO-08_ILO","en","3258","Ambulance Workers",228
"ISCO-08_ILO","en","3259","Health Associate Professionals Not Elsewhere Classified",229
"ISCO-08_ILO","en","33","Business and Administration Associate Professionals",230
"ISCO-08_ILO","en","331","Financial and Mathematical Associate Professionals",231
"ISCO-08_ILO","en","3311","Securities and Finance Dealers and Brokers",232
"ISCO-08_ILO","en","3312","Credit and Loans Officers",233
"ISCO-08_ILO","en","3313","Accounting Associate Professionals",234
"ISCO-08_ILO","en","3314","Statistical, Mathematical and Related Associate Professionals",235
"ISCO-08_ILO","en","3315","Valuers and Loss Assessors",236
"ISCO-08_ILO","en","332","Sales and Purchasing Agents and Brokers",237
"ISCO-08_ILO","en","3321","Insurance Representatives",238
"ISCO-08_ILO","en","3322","Commercial Sales Representatives",239
"ISCO-08_ILO","en","3323","Buyers",240
"ISCO-08_ILO","en","3324","Trade Brokers",241
"ISCO-08_ILO","en","333","Business Services Agents",242
"ISCO-08_ILO","en","3331","Clearing and Forwarding Agents",243
"ISCO-08_ILO","en","3332","Conference and Event Planners",244
"ISCO-08_ILO","en","3333","Employment Agents and Contractors",245
"ISCO-08_ILO","en","3334","Real Estate Agents and Property Managers",246
"ISCO-08_ILO","en","3339","Business Services Agents Not Elsewhere Classified",247
"ISCO-08_ILO","en","334","Administrative and Specialized Secretaries",248
"ISCO-08_ILO","en","3341","Office Supervisors",249
"ISCO-08_ILO","en","3342","Legal Secretaries",250
"ISCO-08_ILO","en","3343","Administrative and Executive Secretaries",251
"ISCO-08_ILO","en","3344","Medical Secretaries",252
"ISCO-08_ILO","en","335","Government Regulatory Associate Professionals",253
"ISCO-08_ILO","en","3351","Customs and Border Inspectors",254
"ISCO-08_ILO","en","3352","Government Tax and Excise Officials",255
"ISCO-08_ILO","en","3353","Government Social Benefits Officials",256
"ISCO-08_ILO","en","3354","Government Licensing Officials",257
"ISCO-08_ILO","en","3355","Police Inspectors and Detectives",258
"ISCO-08_ILO","en","3359","Government Regulatory Associate Professionals Not Elsewhere Classified",259
"ISCO-08_ILO","en","34","Legal, Social, Cultural and Related Associate Professionals",260
"ISCO-08_ILO","en","341","Legal, Social and Religious Associate Professionals",261
"ISCO-08_ILO","en","3411","Legal and Related Associate Professionals",262
"ISCO-08_ILO","en","3412","Social Work Associate Professionals",263
"ISCO-08_ILO","en","3413","Religious Associate Professionals",264
"ISCO-08_ILO","en","342","Sports and Fitness Workers",265
"ISCO-08_ILO","en","3421","Athletes and Sports Players",266
"ISCO-08_ILO","en","3422","Sports Coaches, Instructors and Officials",267
"ISCO-08_ILO","en","3423","Fitness and Recreation Instructors and Programme Leaders",268
"ISCO-08_ILO","en","343","Artistic, Cultural and Culinary Associate Professionals",269
"ISCO-08_ILO","en","3431","Photographers",270
"ISCO-08_ILO","en","3432","Interior Designers and Decorators",271
"ISCO-08_ILO","en","3433","Gallery, Museum and Library Technicians",272
"ISCO-08_ILO","en","3434","Chefs",273
"ISCO-08_ILO","en","3435","Other Artistic and Cultural Associate Professionals",274
"ISCO-08_ILO","en","35","Information and Communications Technicians",275
"ISCO-08_ILO","en","351","Information and Communications Technology Operations and User Support Technicians",276
"ISCO-08_ILO","en","3511","Information and Communications Technology Operations Technicians",277
"ISCO-08_ILO","en","3512","Information and Communications Technology User Support Technicians",278
"ISCO-08_ILO","en","3513","Computer Network and Systems Technicians",279
"ISCO-08_ILO","en","3514","Web Technicians",280
"ISCO-08_ILO","en","352","Telecommunications and Broadcasting Technicians",281
"ISCO-08_ILO","en","3521","Broadcasting and Audiovisual Technicians",282
"ISCO-08_ILO","en","3522","Telecommunications Engineering Technicians",283
"ISCO-08_ILO","en","4","Clerical Support Workers",284
"ISCO-08_ILO","en","41","General and Keyboard Clerks",285
"ISCO-08_ILO","en","411","General Office Clerks",286
"ISCO-08_ILO","en","4110","General Office Clerks",287
"ISCO-08_ILO","en","412","Secretaries (general)",288
"ISCO-08_ILO","en","4120","Secretaries (general)",289
"ISCO-08_ILO","en","413","Keyboard Operators",290
"ISCO-08_ILO","en","4131","Typists and Word Processing Operators",291
"ISCO-08_ILO","en","4132","Data Entry Clerks",292
"ISCO-08_ILO","en","42","Customer Services Clerks",293
"ISCO-08_ILO","en","421","Tellers, Money Collectors and Related Clerks",294
"ISCO-08_ILO","en","4211","Bank Tellers and Related Clerks",295
"ISCO-08_ILO","en","4212","Bookmakers, Croupiers and Related Gaming Workers",296
"ISCO-08_ILO","en","4213","Pawnbrokers and Money-lenders",297
"ISCO-08_ILO","en","4214","Debt Collectors and Related Workers",298
"ISCO-08_ILO","en","422","Client Information Workers",299
"ISCO-08_ILO","en","4221","Travel Consultants and Clerks",300
"ISCO-08_ILO","en","4222","Contact Centre Information Clerks",301
"ISCO-08_ILO","en","4223","Telephone Switchboard Operators",302
"ISCO-08_ILO","en","4224","Hotel Receptionists",303
"ISCO-08_ILO","en","4225","Inquiry Clerks",304
"ISCO-08_ILO","en","4226","Receptionists (general)",305
"ISCO-08_ILO","en","4227","Survey and Market Research Interviewers",306
"ISCO-08_ILO","en","4229","Client Information Workers Not Elsewhere Classified",307
"ISCO-08_ILO","en","43","Numerical and Material Recording Clerks",308
"ISCO-08_ILO","en","431","Numerical Clerks",309
"ISCO-08_ILO","en","4311","Accounting and Bookkeeping Clerks",310
"ISCO-08_ILO","en","4312","Statistical, Finance and Insurance Clerks",311
"ISCO-08_ILO","en","4313","Payroll Clerks",312
"ISCO-08_ILO","en","432","Material Recording and Transport Clerks",313
"ISCO-08_ILO","en","4321","Stock Clerks",314
"ISCO-08_ILO","en","4322","Production Clerks",315
"ISCO-08_ILO","en","4323","Transport Clerks",316
"ISCO-08_ILO","en","44","Other Clerical Support Workers",317
"ISCO-08_ILO","en","441","Other Clerical Support Workers",318
"ISCO-08_ILO","en","4411","Library Clerks",319
"ISCO-08_ILO","en","4412","Mail Carriers and Sorting Clerks",320
"ISCO-08_ILO","en","4413","Coding, Proofreading and Related Clerks",321
"ISCO-08_ILO","en","4414","Scribes and Related Workers",322
"ISCO-08_ILO","en","4415","Filing and Copying Clerks",323
"ISCO-08_ILO","en","4416","Personnel Clerks",324
"ISCO-08_ILO","en","4419","Clerical Support Workers Not Elsewhere Classified",325
"ISCO-08_ILO","en","5","Services And Sales Workers",326
"ISCO-08_ILO","en","51","Personal Services Workers",327
"ISCO-08_ILO","en","511","Travel Attendants, Conductors and Guides",328
"ISCO-08_ILO","en","5111","Travel Attendants and Travel Stewards",329
"ISCO-08_ILO","en","5112","Transport Conductors",330
"ISCO-08_ILO","en","5113","Travel Guides",331
"ISCO-08_ILO","en","512","Cooks",332
"ISCO-08_ILO","en","5120","Cooks",333
"ISCO-08_ILO","en","513","Waiters and Bartenders",334
"ISCO-08_ILO","en","5131","Waiters",335
"ISCO-08_ILO","en","5132","Bartenders",336
"ISCO-08_ILO","en","514","Hairdressers, Beauticians and Related Workers",337
"ISCO-08_ILO","en","5141","Hairdressers",338
"ISCO-08_ILO","en","5142","Beauticians and Related Workers",339
"ISCO-08_ILO","en","515","Building and Housekeeping Supervisors",340
"ISCO-08_ILO","en","5151","Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments",341
"ISCO-08_ILO","en","5152","Domestic Housekeepers",342
"ISCO-08_ILO","en","5153","Building Caretakers",343
"ISCO-08_ILO","en","516","Other Personal Services Workers",344
"ISCO-08_ILO","en","5161","Astrologers, Fortune-tellers and Related Workers",345
"ISCO-08_ILO","en","5162","Companions and Valets",346
"ISCO-08_ILO","en","5163","Undertakers and Embalmers",347
"ISCO-08_ILO","en","5164","Pet Groomers and Animal Care Workers",348
"ISCO-08_ILO","en","5165","Driving Instructors",349
"ISCO-08_ILO","en","5169","Personal Services Workers Not Elsewhere Classified",350
"ISCO-08_ILO","en","52","Sales Workers",351
"ISCO-08_ILO","en","521","Street and Market Salespersons",352
"ISCO-08_ILO","en","5211","Stall and Market Salespersons",353
"ISCO-08_ILO","en","5212","Street Food Salespersons",354
"ISCO-08_ILO","en","522","Shop Salespersons ",355
"ISCO-08_ILO","en","5221","Shopkeepers",356
"ISCO-08_ILO","en","5222","Shop Supervisors",357
"ISCO-08_ILO","en","5223","Shop Sales Assistants",358
"ISCO-08_ILO","en","523","Cashiers and Ticket Clerks",359
"ISCO-08_ILO","en","5230","Cashiers and Ticket Clerks",360
"ISCO-08_ILO","en","524","Other Sales Workers",361
"ISCO-08_ILO","en","5241","Fashion and Other Models",362
"ISCO-08_ILO","en","5242","Sales Demonstrators",363
"ISCO-08_ILO","en","5243","Door-to-door Salespersons",364
"ISCO-08_ILO","en","5244","Contact Centre Salespersons",365
"ISCO-08_ILO","en","5245","Service Station Attendants",366
"ISCO-08_ILO","en","5246","Food Service Counter Attendants",367
"ISCO-08_ILO","en","5249","Sales Workers Not Elsewhere Classified",368
"ISCO-08_ILO","en","53","Personal Care Workers",369
"ISCO-08_ILO","en","531","Child Care Workers and Teachers’ Aides",370
"ISCO-08_ILO","en","5311","Child Care Workers",371
"ISCO-08_ILO","en","5312","Teachers’ Aides",372
"ISCO-08_ILO","en","532","Personal Care Workers in Health Services",373
"ISCO-08_ILO","en","5321","Health Care Assistants",374
"ISCO-08_ILO","en","5322","Home-based Personal Care Workers",375
"ISCO-08_ILO","en","5329","Personal Care Workers in Health Services Not Elsewhere Classified",376
"ISCO-08_ILO","en","54","Protective Services Workers",377
"ISCO-08_ILO","en","541","Protective Services Workers",378
"ISCO-08_ILO","en","5411","Firefighters",379
"ISCO-08_ILO","en","5412","Police Officers",380
"ISCO-08_ILO","en","5413","Prison Guards",381
"ISCO-08_ILO","en","5414","Security Guards",382
"ISCO-08_ILO","en","5419","Protective Services Workers Not Elsewhere Classified",383
"ISCO-08_ILO","en","6","Skilled Agricultural, Forestry and Fishery Workers",384
"ISCO-08_ILO","en","61","Market-oriented Skilled Agricultural Workers",385
"ISCO-08_ILO","en","611","Market Gardeners and Crop Growers",386
"ISCO-08_ILO","en","6111","Field Crop and Vegetable Growers",387
"ISCO-08_ILO","en","6112","Tree and Shrub Crop Growers",388
"ISCO-08_ILO","en","6113","Gardeners; Horticultural and Nursery Growers",389
"ISCO-08_ILO","en","6114","Mixed Crop Growers",390
"ISCO-08_ILO","en","612","Animal Producers",391
"ISCO-08_ILO","en","6121","Livestock and Dairy Producers",392
"ISCO-08_ILO","en","6122","Poultry Producers",393
"ISCO-08_ILO","en","6123","Apiarists and Sericulturists",394
"ISCO-08_ILO","en","6129","Animal Producers Not Elsewhere Classified",395
"ISCO-08_ILO","en","613","Mixed Crop and Animal Producers",396
"ISCO-08_ILO","en","6130","Mixed Crop and Animal Producers",397
"ISCO-08_ILO","en","62","Market-oriented Skilled Forestry, Fishery and Hunting Workers",398
"ISCO-08_ILO","en","621","Forestry and Related Workers",399
"ISCO-08_ILO","en","6210","Forestry and Related Workers",400
"ISCO-08_ILO","en","622","Fishery Workers, Hunters and Trappers",401
"ISCO-08_ILO","en","6221","Aquaculture Workers",402
"ISCO-08_ILO","en","6222","Inland and Coastal Waters Fishery Workers",403
"ISCO-08_ILO","en","6223","Deep-sea Fishery Workers",404
"ISCO-08_ILO","en","6224","Hunters and Trappers",405
"ISCO-08_ILO","en","63","Subsistence Farmers, Fishers, Hunters and Gatherers",406
"ISCO-08_ILO","en","631","Subsistence Crop Farmers",407
"ISCO-08_ILO","en","6310","Subsistence Crop Farmers",408
"ISCO-08_ILO","en","632","Subsistence Livestock Farmers",409
"ISCO-08_ILO","en","6320","Subsistence Livestock Farmers",410
"ISCO-08_ILO","en","633","Subsistence Mixed Crop and Livestock Farmers",411
"ISCO-08_ILO","en","6330","Subsistence Mixed Crop and Livestock Farmers",412
"ISCO-08_ILO","en","634","Subsistence Fishers, Hunters, Trappers and Gatherers",413
"ISCO-08_ILO","en","6340","Subsistence Fishers, Hunters, Trappers and Gatherers",414
"ISCO-08_ILO","en","7","Craft and Related Trades Workers",415
"ISCO-08_ILO","en","71","Building and Related Trades Workers (excluding Electricians)",416
"ISCO-08_ILO","en","711","Building Frame and Related Trades Workers",417
"ISCO-08_ILO","en","7111","House Builders",418
"ISCO-08_ILO","en","7112","Bricklayers and Related Workers",419
"ISCO-08_ILO","en","7113","Stonemasons, Stone Cutters, Splitters and Carvers",420
"ISCO-08_ILO","en","7114","Concrete Placers, Concrete Finishers and Related Workers",421
"ISCO-08_ILO","en","7115","Carpenters and Joiners",422
"ISCO-08_ILO","en","7119","Building Frame and Related Trades Workers Not Elsewhere Classified",423
"ISCO-08_ILO","en","712","Building Finishers and Related Trades Workers",424
"ISCO-08_ILO","en","7121","Roofers",425
"ISCO-08_ILO","en","7122","Floor Layers and Tile Setters",426
"ISCO-08_ILO","en","7123","Plasterers",427
"ISCO-08_ILO","en","7124","Insulation Workers",428
"ISCO-08_ILO","en","7125","Glaziers",429
"ISCO-08_ILO","en","7126","Plumbers and Pipe Fitters",430
"ISCO-08_ILO","en","7127","Air Conditioning and Refrigeration Mechanics",431
"ISCO-08_ILO","en","713","Painters, Building Structure Cleaners and Related Trades Workers",432
"ISCO-08_ILO","en","7131","Painters and Related Workers",433
"ISCO-08_ILO","en","7132","Spray Painters and Varnishers",434
"ISCO-08_ILO","en","7133","Building Structure Cleaners",435
"ISCO-08_ILO","en","72","Metal, Machinery and Related Trades Workers",436
"ISCO-08_ILO","en","721","Sheet and Structural Metal Workers, Moulders and Welders, and Related Workers",437
