"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"KldB92","de","0711","Aus- und Vorrichtungsbergleute",90,711
"KldB92","de","0712","Ausbaubergleute, Reparaturhauer",91,712
"KldB92","de","0713","Herrichtungs-, Instandhaltungsbergleute (nicht Maschinen-, Elektrotechnik)",92,713
"KldB92","de","0714","Gewinnungsbergleute",93,714
"KldB92","de","0715","Transportbergleute",94,715
"KldB92","de","0716","Versatzbergleute",95,716
"KldB92","de","0717","Bergbauhelfer (Bergtechnik)",96,717
"KldB92","de","0718","Bergleute mit Bohr-, Spreng-, Sicherheitsaufgaben",97,718
"KldB92","de","0719","andere Bergleute (Bergtechnik)",98,719
"KldB92","de","0721","Maschinenhauer und verwandte Berufe",99,721
"KldB92","de","0722","Elektrohauer und verwandte Berufe",100,722
"KldB92","de","0727","Bergbauhelfer (Maschinen-, Elektrotechnik)",101,727
"KldB92","de","0801","Steinegewinner",102,801
"KldB92","de","0802","Erden-, Kies-, Sandgewinner",103,802
"KldB92","de","0803","Torfgewinner",104,803
"KldB92","de","0804","Erdöl-, Erdgasgewinner",105,804
"KldB92","de","0805","Aufbereitungsmechaniker",106,805
"KldB92","de","0806","Mineralaufbereiter, a.n.g.",107,806
"KldB92","de","0807","Mineralgewinner-, -aufbereiterhelfer",108,807
"KldB92","de","1010","Steinbearbeiter/innen, allgemein",109,1010
"KldB92","de","1011","Steinmetz(en/innen) und Steinbildhauer/innen, Restaurator(en/innen)",110,1011
"KldB92","de","1012","Steinmetz(en/innen)",111,1012
"KldB92","de","1013","Steinbildhauer/innen (nicht Künstler/innen)",112,1013
"KldB92","de","1014","Steinsäger/innen, -fräser/innen, -bohrer/innen",113,1014
"KldB92","de","1015","Steinschleifer/innen, -polierer/innen (nicht Edelsteine)",114,1015
"KldB92","de","1016","Steinbehauer, a.n.g., Pflaster-, Grenzsteinmacher",115,1016
"KldB92","de","1017","Stein-, Edelsteinbearbeiterhelfer/innen",116,1017
"KldB92","de","1018","Edelsteinbearbeiter/innen",117,1018
"KldB92","de","1019","andere Steinbearbeiter/innen",118,1019
"KldB92","de","1120","Formsteinhersteller/innen, allgemein",119,1120
"KldB92","de","1121","Betonfertigteilbauer/innen, Betonstein- und Terrazzohersteller/innen o.n.A",120,1121
"KldB92","de","1122","Beton-, Formsteinwarenhersteller/innen o.n.T.",121,1122
"KldB92","de","1123","Betonwerksteinmacher/innen o.n.T.",122,1123
"KldB92","de","1124","Massebereiter/innen, -mischer/innen",123,1124
"KldB92","de","1125","Masseformer/innen, -verdichter/innen",124,1125
"KldB92","de","1127","Formstein-, Beton(stein)herstellerhelfer/innen",125,1127
"KldB92","de","1129","andere Formstein-, Beton(stein)hersteller/innen",126,1129
"KldB92","de","1210","Keramiker/innen, Töpfer/innen, allgemein",127,1210
"KldB92","de","1211","Industrie-, Baukeramiker/innen",128,1211
"KldB92","de","1212","Kerammodelleur(e/innen), Kerammodelleinrichter/innen",129,1212
"KldB92","de","1213","Keram-, Glasurmassebereiter/innen",130,1213
"KldB92","de","1214","Formgeber/innen",131,1214
"KldB92","de","1215","Kerambrenner/innen, -trockner/innen",132,1215
"KldB92","de","1216","Garnierer/innen, Keramteilemontierer/innen, Oberflächenvergüter/innen",133,1216
"KldB92","de","1217","Keramikerhelfer/innen",134,1217
"KldB92","de","1218","Grobkeramiker/innen, Feuerfestwerker/innen, a.n.g.",135,1218
"KldB92","de","1219","andere Keramiker/innen",136,1219
"KldB92","de","1310","Industrieglasfertiger/innen, allgemein",137,1310
"KldB92","de","1311","Glasmassehersteller/innen",138,1311
"KldB92","de","1312","Mundhohlglasmacher/innen",139,1312
"KldB92","de","1313","Maschinenhohlglasmacher/innen",140,1313
"KldB92","de","1314","Hohlglaswarenmacher/innen, a.n.g.",141,1314
"KldB92","de","1315","Maschinenflachglasmacher/innen",142,1315
"KldB92","de","1316","Glasbläser/innen vor der Lampe, Glasinstrumentenmacher/innen",143,1316
"KldB92","de","1317","Glasherstellerhelfer/innen",144,1317
"KldB92","de","1318","Glasbeschauer/innen",145,1318
"KldB92","de","1319","andere Glashersteller/innen",146,1319
"KldB92","de","1350","Glasbearbeiter/innen, Glasveredler/innen, allgemein",147,1350
"KldB92","de","1351","Glassäger/innen, -schneider/innen, -bohrer/innen u.ä.",148,1351
"KldB92","de","1352","Glasschleifer/innen, -polierer/innen (nicht Feinoptiker/innen)",149,1352
"KldB92","de","1353","Glasätzer/innen",150,1353
"KldB92","de","1354","Glasgraveur(e/innen)",151,1354
"KldB92","de","1355","Glasbeschichter/innen",152,1355
"KldB92","de","1356","Feinoptiker/innen",153,1356
"KldB92","de","1357","Glasbearbeiter-, Glasveredlerhelfer/innen",154,1357
"KldB92","de","1358","Brillenoptikschleifer/innen",155,1358
"KldB92","de","1359","andere Glasbearbeiter/innen, -veredler/innen",156,1359
"KldB92","de","1410","Chemiebetriebswerker/innen, Chemie(fach)arbeiter/innen, allgemein",157,1410
"KldB92","de","1411","Pharmakant(en/innen) o.n.T.",158,1411
"KldB92","de","1412","Chemieanlagensteuer(er/innen) (mechanische Verfahren)",159,1412
"KldB92","de","1413","Chemieanlagensteuer(er/innen) (thermische Verfahren)",160,1413
"KldB92","de","1414","Chemieanlagensteuer(er/innen), a.n.g.",161,1414
"KldB92","de","1415","Chemiefaserhersteller/innen",162,1415
"KldB92","de","1416","Feuerwerker/innen und verwandte Berufe",163,1416
"KldB92","de","1417","Chemiehilfsarbeiter/innen",164,1417
"KldB92","de","1418","Wachszieher/innen, Wachsbildner/innen",165,1418
"KldB92","de","1419","andere Chemiebetriebswerker/innen",166,1419
"KldB92","de","1421","Chemielaborwerker/innen",167,1421
"KldB92","de","1427","Chemielaborhilfsarbeiter/innen",168,1427
"KldB92","de","1450","Gummihersteller/innen, -verarbeiter/innen, allgemein",169,1450
"KldB92","de","1451","Kautschuk-, Altgummiaufbereiter/innen",170,1451
"KldB92","de","1452","Formgeber/innen, Beschichter/innen",171,1452
"KldB92","de","1453","Konfektionierer/innen",172,1453
"KldB92","de","1454","Gummibearbeiter/innen, a.n.g.",173,1454
"KldB92","de","1456","Gummiwarenmacher/innen, a.n.g.",174,1456
"KldB92","de","1457","Gummihersteller-, -verarbeiterhelfer/innen, Vulkaniseurhelfer/innen",175,1457
