"ConceptScheme","labelStyle","Concept","prefLabel","sortorder","prefValue"
"ISCO-88_Kantar","de","11","Angehörige gesetzgebender Körperschaften und leitende Verwal",1,11
"ISCO-88_Kantar","de","12","Geschäftsleiter und Geschäftsbereichsleiter in großen Untern",2,12
"ISCO-88_Kantar","de","13","Leiter kleiner Unternehmen",3,13
"ISCO-88_Kantar","de","21","Physiker, Mathematiker und Ingenieurwissenschaftler",4,21
"ISCO-88_Kantar","de","22","Biowissenschaftler und Mediziner",5,22
"ISCO-88_Kantar","de","23","Wissenschaftliche Lehrkräfte",6,23
"ISCO-88_Kantar","de","24","Sonstige Wissenschaftler und verwandte Berufe",7,24
"ISCO-88_Kantar","de","31","Technische Fachkräfte",8,31
"ISCO-88_Kantar","de","32","Biowissenschaftliche und Gesundheitsfachkräfte",9,32
"ISCO-88_Kantar","de","33","Nicht-wissenschaftliche Lehrkräfte",10,33
"ISCO-88_Kantar","de","34","Sonstige Fachkräfte (mittlere Qualifikationsebene)",11,34
"ISCO-88_Kantar","de","41","Büroangestellte ohne Kundenkontakt",12,41
"ISCO-88_Kantar","de","42","Büroangestellte mit Kundenkontakt",13,42
"ISCO-88_Kantar","de","51","Personenbezogene Dienstleistungsberufe und Sicherheitsbedien",14,51
"ISCO-88_Kantar","de","52","Modelle, Verkäufer und Vorführer",15,52
"ISCO-88_Kantar","de","61","Fachkräfte in der Landwirtschaft und Fischerei",16,61
"ISCO-88_Kantar","de","71","Mineralgewinnungs- und Bauberufe",17,71
"ISCO-88_Kantar","de","72","Metallarbeiter, Mechaniker und verwandte Berufe",18,72
"ISCO-88_Kantar","de","73","Präzisionsarbeiter, Kunsthandwerker, Drucker und verwandte B",19,73
"ISCO-88_Kantar","de","74","Sonstige Handwerks- und verwandte Berufe",20,74
"ISCO-88_Kantar","de","81","Bediener stationärer und verwandter Anlagen",21,81
"ISCO-88_Kantar","de","82","Maschinenbediener und Montierer",22,82
"ISCO-88_Kantar","de","83","Fahrzeugführer und Bediener mobiler Anlagen",23,83
"ISCO-88_Kantar","de","91","Verkaufs- und Dienstleistungshilfskräfte",24,91
"ISCO-88_Kantar","de","92","Landwirtschaftliche, Fischerei- und verwandte Hilfsarbeiter",25,92
"ISCO-88_Kantar","de","93","Hilfsarbeiter im Bergbau, Baugewerbe, Verarb. Gewerbe und Tr",26,93
"ISCO-88_Kantar","de","110","Soldaten",27,110
"ISCO-88_Kantar","de","111","Angehörige gesetzgebender Körperschaften und leitende Verwal",28,111
"ISCO-88_Kantar","de","114","Leitende Bedienstete von Interessenorganisationen",29,114
"ISCO-88_Kantar","de","121","Direktoren und Hauptgeschäftsführer",30,121
"ISCO-88_Kantar","de","122","Produktions- und Operationsleiter",31,122
"ISCO-88_Kantar","de","123","Sonstige Fachbereichsleiter",32,123
