"sourceConceptScheme","sourceConcept","targetConceptScheme","targetConcept","prob","comment"
"ISCO-88_ILO","1","ISCO-88_Ganzeboom","1000",1,
"ISCO-88_ILO","11","ISCO-88_Ganzeboom","1100",1,
"ISCO-88_ILO","111","ISCO-88_Ganzeboom","1110",1,
"ISCO-88_ILO","1110","ISCO-88_Ganzeboom","1110",1,
"ISCO-88_ILO","112","ISCO-88_Ganzeboom","1120",1,
"ISCO-88_ILO","1120","ISCO-88_Ganzeboom","1120",1,
"ISCO-88_ILO","113","ISCO-88_Ganzeboom","1130",1,
"ISCO-88_ILO","1130","ISCO-88_Ganzeboom","1130",1,
"ISCO-88_ILO","114","ISCO-88_Ganzeboom","1140",1,
"ISCO-88_ILO","1141","ISCO-88_Ganzeboom","1141",1,
"ISCO-88_ILO","1142","ISCO-88_Ganzeboom","1142",1,
"ISCO-88_ILO","1143","ISCO-88_Ganzeboom","1143",1,
"ISCO-88_ILO","12","ISCO-88_Ganzeboom","1200",1,
"ISCO-88_ILO","121","ISCO-88_Ganzeboom","1210",1,
"ISCO-88_ILO","1210","ISCO-88_Ganzeboom","1210",1,
"ISCO-88_ILO","122","ISCO-88_Ganzeboom","1220",1,
"ISCO-88_ILO","1221","ISCO-88_Ganzeboom","1221",1,
"ISCO-88_ILO","1222","ISCO-88_Ganzeboom","1222",1,
"ISCO-88_ILO","1223","ISCO-88_Ganzeboom","1223",1,
"ISCO-88_ILO","1224","ISCO-88_Ganzeboom","1224",1,
"ISCO-88_ILO","1225","ISCO-88_Ganzeboom","1225",1,
"ISCO-88_ILO","1226","ISCO-88_Ganzeboom","1226",1,
"ISCO-88_ILO","1227","ISCO-88_Ganzeboom","1227",1,
"ISCO-88_ILO","1228","ISCO-88_Ganzeboom","1228",1,
"ISCO-88_ILO","1229","ISCO-88_Ganzeboom","1229",1,
"ISCO-88_ILO","123","ISCO-88_Ganzeboom","1230",1,
"ISCO-88_ILO","1231","ISCO-88_Ganzeboom","1231",1,
"ISCO-88_ILO","1232","ISCO-88_Ganzeboom","1232",1,
"ISCO-88_ILO","1233","ISCO-88_Ganzeboom","1233",1,
"ISCO-88_ILO","1234","ISCO-88_Ganzeboom","1234",1,
"ISCO-88_ILO","1235","ISCO-88_Ganzeboom","1235",1,
"ISCO-88_ILO","1236","ISCO-88_Ganzeboom","1236",1,
"ISCO-88_ILO","1237","ISCO-88_Ganzeboom","1237",1,
"ISCO-88_ILO","1239","ISCO-88_Ganzeboom","1239",1,
"ISCO-88_ILO","13","ISCO-88_Ganzeboom","1300",1,
"ISCO-88_ILO","131","ISCO-88_Ganzeboom","1310",1,
"ISCO-88_ILO","1311","ISCO-88_Ganzeboom","1311",1,
"ISCO-88_ILO","1312","ISCO-88_Ganzeboom","1312",1,
"ISCO-88_ILO","1313","ISCO-88_Ganzeboom","1313",1,
"ISCO-88_ILO","1314","ISCO-88_Ganzeboom","1314",1,
"ISCO-88_ILO","1315","ISCO-88_Ganzeboom","1315",1,
"ISCO-88_ILO","1316","ISCO-88_Ganzeboom","1316",1,
"ISCO-88_ILO","1317","ISCO-88_Ganzeboom","1317",1,
"ISCO-88_ILO","1318","ISCO-88_Ganzeboom","1318",1,
"ISCO-88_ILO","1319","ISCO-88_Ganzeboom","1319",1,
"ISCO-88_ILO","2","ISCO-88_Ganzeboom","2000",1,
"ISCO-88_ILO","21","ISCO-88_Ganzeboom","2100",1,
"ISCO-88_ILO","211","ISCO-88_Ganzeboom","2110",1,
"ISCO-88_ILO","2111","ISCO-88_Ganzeboom","2111",1,
"ISCO-88_ILO","2112","ISCO-88_Ganzeboom","2112",1,
"ISCO-88_ILO","2113","ISCO-88_Ganzeboom","2113",1,
"ISCO-88_ILO","2114","ISCO-88_Ganzeboom","2114",1,
"ISCO-88_ILO","212","ISCO-88_Ganzeboom","2120",1,
"ISCO-88_ILO","2121","ISCO-88_Ganzeboom","2121",1,
"ISCO-88_ILO","2122","ISCO-88_Ganzeboom","2122",1,
"ISCO-88_ILO","213","ISCO-88_Ganzeboom","2130",1,
"ISCO-88_ILO","2131","ISCO-88_Ganzeboom","2131",1,
"ISCO-88_ILO","2132","ISCO-88_Ganzeboom","2132",1,
"ISCO-88_ILO","2139","ISCO-88_Ganzeboom","2139",1,
"ISCO-88_ILO","214","ISCO-88_Ganzeboom","2140",1,
"ISCO-88_ILO","2141","ISCO-88_Ganzeboom","2141",1,
"ISCO-88_ILO","2142","ISCO-88_Ganzeboom","2142",1,
"ISCO-88_ILO","2143","ISCO-88_Ganzeboom","2143",1,
"ISCO-88_ILO","2144","ISCO-88_Ganzeboom","2144",1,
"ISCO-88_ILO","2145","ISCO-88_Ganzeboom","2145",1,
"ISCO-88_ILO","2146","ISCO-88_Ganzeboom","2146",1,
"ISCO-88_ILO","2147","ISCO-88_Ganzeboom","2147",1,
"ISCO-88_ILO","2148","ISCO-88_Ganzeboom","2148",1,
"ISCO-88_ILO","2149","ISCO-88_Ganzeboom","2149",1,
"ISCO-88_ILO","22","ISCO-88_Ganzeboom","2200",1,
"ISCO-88_ILO","221","ISCO-88_Ganzeboom","2210",1,
"ISCO-88_ILO","2211","ISCO-88_Ganzeboom","2211",1,
"ISCO-88_ILO","2212","ISCO-88_Ganzeboom","2212",1,
"ISCO-88_ILO","2213","ISCO-88_Ganzeboom","2213",1,
"ISCO-88_ILO","222","ISCO-88_Ganzeboom","2220",1,
"ISCO-88_ILO","2221","ISCO-88_Ganzeboom","2221",1,
"ISCO-88_ILO","2222","ISCO-88_Ganzeboom","2222",1,
"ISCO-88_ILO","2223","ISCO-88_Ganzeboom","2223",1,
"ISCO-88_ILO","2224","ISCO-88_Ganzeboom","2224",1,
